Caida libre,,,,,,,Pendulo,,,,,,# Ligas1,er1,# Ligas2,er2,,,ln(er1),l,n/n+5,
,Altura rebote,,,,,,Velocidades [m/s],,,,,,5,"0,726",5,"0,641",,"0,5149487614","-0,3205937208","1,029897523","0,5","0,5149487614"
# Ligas,Repe 1,Repe 2,Repe 2,promedio,er,# Ligas,m pendulo inicial,pelota,m pendulo final,er,,,10,"0,719",10,"0,755",,"0,5674896191","-0,3301786789","0,8512344287","0,6666666667","0,5674896191"
230,76,74,73,"74,33333333","0,8621678104",,,,,,,,240,"0,864",0,"0,000",,,,,,
235,75,75,74,"74,66666667","0,8640987598",,,,,,,,245,"0,864",0,"0,000",,,,,,
240,76,73,75,"74,66666667","0,8640987598",,,,,,,,250,"0,860",0,"0,000",,,,,,
245,75,74,75,"74,66666667","0,8640987598",,,,,,,,300,"0,862",0,"0,000",,,,,,
250,74,73,75,74,"0,8602325267",,,,,,,,350,"0,858",0,"0,000",,,,,,
300,75,74,74,"74,33333333","0,8621678104",,,,,,,,400,"0,862",0,"0,000",,,,,,
350,74,74,73,"73,66666667","0,8582928793",,,,,,,,450,"0,862",0,"0,000",,,,,,
400,75,75,73,"74,33333333","0,8621678104",,,,,,,,500,"0,858",0,"0,000",,,,,,
450,74,74,75,"74,33333333","0,8621678104",,,,,,,,550,"0,860",0,"0,000",,,,,,
500,73,73,75,"73,66666667","0,8582928793",,,,,,,,600,"0,860",0,"0,000",,,,,,
550,73,74,75,74,"0,8602325267",,,,,,,,650,"0,856",0,"0,000",,,,,,
600,74,74,74,74,"0,8602325267",,,,,,,,700,"0,862",0,"0,000",,,,,,
650,73,74,73,"73,33333333","0,8563488386",,,,,,,,0,"0,000",0,"0,000",,,,,,
700,75,73,75,"74,33333333","0,8621678104",,,,,,,,0,"0,000",0,"0,000",,,,,,
